KLDO data file V101
[{PARAMETERS}]
[{TotalTime}]
10:30

[{PreTemp}]
210

[{CookDate}]
26-04-19 17:08:29

[{Comment}]
sim

[{EVENT}]
[{StartBeansIn}]
210@00:00

[{TemperBack}]
102@00:43

[{TurntoYellow}]
150@03:28

[{1stBoomStart}]


[{1stBoomEnd}]

[{2ndBoomStart}]

[{2ndBoomEnd}]

[{BeansColdDown}]
240@10:30

[{DATA}]
Index,Time,BT,ET,RoR,SV,HPM,HP,SM,RL,PS
166,166000,136,283,19.30,0,M,90,30,70,O
167,167000,136,284,19.35,0,M,90,30,70,O
168,168000,137,284,19.40,0,M,90,30,70,O
169,169000,137,285,19.45,0,M,90,30,70,O
170,170000,137,285,19.50,0,M,90,30,70,O
171,171000,138,286,19.55,0,M,90,30,70,O
172,172000,138,286,19.59,0,M,90,30,70,O
173,173000,138,287,19.63,0,M,90,30,70,O
174,174000,139,287,19.67,0,M,90,30,70,O
175,175000,139,288,19.71,0,M,90,30,70,O
176,176000,139,288,19.75,0,M,90,30,70,O
177,177000,140,289,19.79,0,M,90,30,70,O
178,178000,140,289,19.82,0,M,90,30,70,O
179,179000,140,290,19.86,0,M,90,30,70,O
180,180000,141,290,19.89,0,M,90,30,70,O
181,181000,141,291,19.92,0,M,90,30,70,O
182,182000,141,291,19.95,0,M,90,30,70,O
183,183000,142,292,19.97,0,M,90,30,70,O
184,184000,142,292,20.00,0,M,90,30,70,O
185,185000,142,293,20.03,0,M,90,30,70,O
186,186000,143,293,20.05,0,M,90,30,70,O
187,187000,143,294,20.07,0,M,90,30,70,O
188,188000,143,294,20.09,0,M,90,30,70,O
189,189000,144,295,20.12,0,M,90,30,70,O
190,190000,144,295,20.13,0,M,90,30,70,O
191,191000,144,296,20.15,0,M,90,30,70,O
192,192000,145,296,20.17,0,M,90,30,70,O
193,193000,145,297,20.19,0,M,90,30,70,O
194,194000,146,297,20.20,0,M,90,30,70,O
195,195000,146,298,20.22,0,M,90,30,70,O
196,196000,146,298,20.23,0,M,90,30,70,O
197,197000,147,299,20.25,0,M,90,30,70,O
198,198000,147,299,20.26,0,M,90,30,70,O
199,199000,147,300,20.27,0,M,90,30,70,O
200,200000,148,300,20.28,0,M,90,30,70,O
201,201000,148,301,20.29,0,M,90,30,70,O
202,202000,148,301,20.30,0,M,90,30,70,O
203,203000,149,302,20.31,0,M,90,30,70,O
204,204000,149,302,20.32,0,M,90,30,70,O
205,205000,149,302,20.33,0,M,90,30,70,O
206,206000,150,303,20.34,0,M,90,30,70,O
207,207000,150,303,20.34,0,M,90,30,70,O
208,208000,150,304,20.35,0,M,90,30,70,O
209,209000,151,304,20.36,0,M,90,30,70,O
210,210000,151,305,20.36,0,M,90,30,70,O
211,211000,151,305,20.37,0,M,90,30,70,O
212,212000,152,306,20.37,0,M,90,30,70,O
213,213000,152,306,20.38,0,M,90,30,70,O
214,214000,152,307,20.38,0,M,90,30,70,O
215,215000,153,307,20.38,0,M,90,30,70,O
216,216000,153,308,20.39,0,M,90,30,70,O
217,217000,153,308,20.39,0,M,90,30,70,O
218,218000,154,309,20.39,0,M,90,30,70,O
219,219000,154,309,20.40,0,M,90,30,70,O
220,220000,154,310,20.40,0,M,90,30,70,O
221,221000,155,310,20.40,0,M,90,30,70,O
222,222000,155,310,20.40,0,M,90,30,70,O
223,223000,155,311,20.41,0,M,95,30,70,O
224,224000,156,311,20.42,0,M,95,30,70,O
225,225000,156,312,20.43,0,M,95,30,70,O
226,226000,156,312,20.44,0,M,95,30,70,O
227,227000,157,313,20.46,0,M,95,30,70,O
228,228000,157,313,20.48,0,M,95,30,70,O
229,229000,157,314,20.50,0,M,95,30,70,O
230,230000,158,315,20.52,0,M,95,30,70,O
231,231000,158,315,20.54,0,M,95,30,70,O
232,232000,159,316,20.57,0,M,95,30,70,O
